,Unnamed: 0,ifm_start,ifm_peak_freq_resolution,ifm_terminal_frequency,ifm_duration,ifm_peak_frequency,ifm_rms,ifm_stop,ifm_peak_amplitude,ifm_region_id,cf_start,cf_peak_freq_resolution,cf_terminal_frequency,cf_duration,cf_peak_frequency,cf_rms,cf_stop,cf_peak_amplitude,cf_region_id,tfm_start,tfm_peak_freq_resolution,tfm_terminal_frequency,tfm_duration,tfm_peak_frequency,tfm_rms,tfm_stop,tfm_peak_amplitude,tfm_region_id,audio_file,terminal_frequency_threshold,video_annot_id,num_bats,0,duration,peak_freq_resolution,ifm-cf_dbratio,tfm-cf_dbratio,ifm-peak_db,tfm-peak_db,tfm_dbrms,ifm_dbrms,cf_dbrms,cf-peak_db,ifm_rmsdb,tfm_rmsdb,cf_rmsdb,ifm_bw,tfm_bw,annot_end_time,annot_start_time,posix_end_time,posix_start_time,groupsize
0,7,,,,,,,,,,0.0016120000000000002,98.0392156862745,105559.91370857033,20.396,105.60894292998627,0.04776714816066214,0.022008,0.103302001953125,cf1,0.022008,871.0801393728223,87.41258741258741,2.2880000000000003,105332.16783216783,0.01796896657613135,0.024296,0.0487060546875,fm1,segment_matching_annotaudio_Aditya_2018-08-16_21502300_18_hp,-10,Aditya_2018-08-16_21502300_18,1,,,,-6.954737347654675,-6.287872273803107,-27.657401745999614,-27.093627461971803,-34.2896425345232,-34.956507608374764,-28.001770260720075,-22.984276224828488,,-34.909537982794674,-26.417413732029868,,18.196355517398857,2018-08-16 22:24:26,2018-08-16 22:24:25,1534451066.0,1534451065.0,single
1,8,0.0001,2427.184466019417,99.26470588235294,0.816,106617.64705882351,0.006330016094156564,0.000916,0.01220703125,fm1,0.000916,112.30907457322552,108539.32584269663,17.8,108.65168539325843,0.01460845304266451,0.018716,0.03192138671875,cf1,0.018716,1329.7872340425529,89.57219251336902,1.4960000000000002,97593.58288770054,0.017439387226466457,0.020212,0.04351806640625,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_20_hp,-10,Aditya_2018-08-16_21502300_20,1,,,,,-8.4921242507648,,-26.248340958900148,-34.909537982794674,,-26.41741373202987,-19.71782523877109,-43.97190371562604,-35.169375581692506,-36.70791542204667,9.386979510905498,19.079492879889425,2018-08-16 22:25:24,2018-08-16 22:25:21,1534451124.0,1534451121.0,single
2,9,0.0,1028.80658436214,103.30578512396694,1.936,105888.42975206608,0.017798727969013346,0.001936,0.05047607421875,fm1,0.001936,33.244680851063826,107620.1875124676,60.156,107.65343440388324,0.14929682913702222,0.062092,0.314453125,cf1,0.062092,1046.0251046025103,102.72536687631028,1.908,105345.91194968554,0.015075461352218229,0.064,0.045166015625,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_22_hp,-10,Aditya_2018-08-16_21502300_22,1,,,,-7.2639882935793745,1.5385398403541617,-38.267798872635105,-27.226608188877425,-35.1693755816925,-43.97190371562604,-36.70791542204667,-29.91836500856925,-34.99222069065185,-36.43458776663287,-16.518988320103347,4.347649279916295,4.928067527572959,2018-08-16 22:25:47,2018-08-16 22:25:44,1534451147.0,1534451144.0,single
3,10,0.000736,1237.6237623762374,92.0398009950249,1.6079999999999999,103855.72139303484,0.020310663947971132,0.002344,0.042266845703125,fm1,0.002344,106.92899914456801,105133.68983957221,18.700000000000003,105.4010695187166,0.03912734247212378,0.021044,0.07415771484375,cf1,0.021044,714.2857142857142,90.61604584527221,2.7920000000000003,105300.85959885387,0.024684871374433228,0.023836000000000003,0.059783935546875,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_24_hp,-10,Aditya_2018-08-16_21502300_24,1,,,,-18.473232370548512,-19.915599446529527,-25.938288594863803,-26.90376439129521,-36.434587766632866,-34.99222069065185,-16.518988320103347,-10.048881698879624,-33.845517588794976,-32.15138262837405,-28.150392967305162,13.361268523691702,14.78502367344439,2018-08-16 22:28:17,2018-08-16 22:28:16,1534451297.0,1534451296.0,single
4,11,0.000348,1173.7089201877934,96.10849056603774,1.696,102594.3396226415,0.007325426637866852,0.002044,0.01971435546875,fm1,0.002044,96.86168151879116,103439.92248062015,20.639999999999997,103.29457364341084,0.02035695925333897,0.022684,0.037445068359375,cf1,0.022684,980.3921568627452,95.47244094488188,2.032,103838.58267716537,0.007348096777440075,0.024716,0.019989013671875,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_25_hp,-10,Aditya_2018-08-16_21502300_25,1,,,,-5.695124621489817,-4.0009896610688855,-27.480003231185012,-24.46830997929963,-32.15138262837405,-33.845517588794976,-28.15039296730516,-22.596873227228123,-42.70334153258113,-42.676502649852026,-33.82574185295235,7.1860830773731,7.822132698528963,2018-08-16 22:28:47,2018-08-16 22:28:46,1534451327.0,1534451326.0,single
5,12,,,,,,,,,,0.0007,78.14942169427947,104713.88367729832,25.584,104.83114446529079,0.015824242305162085,0.026284,0.032867431640625,cf1,0.026284,1162.7906976744189,92.07459207459208,1.716,103729.60372960372,0.008471267485265202,0.028,0.01947021484375,fm1,segment_matching_annotaudio_Aditya_2018-08-16_21502300_28_hp,-10,Aditya_2018-08-16_21502300_28,1,,,,-8.877599679628775,-8.850760796899666,-34.10434833929268,-33.984172699358695,-42.676502649852026,-42.703341532581135,-33.825741852952355,-28.53210744465427,,-41.44103209876012,-36.013541513182155,,12.756552390698722,2018-08-16 22:29:33,2018-08-16 22:29:29,1534451373.0,1534451369.0,single
6,13,0.000892,1404.4943820224719,91.5492957746479,1.42,102112.67605633805,0.014604191647460378,0.0023120000000000003,0.03216552734375,fm1,0.0023120000000000003,138.50415512465375,102798.55915766141,14.436,102.79855915766142,0.030730190310537118,0.016748,0.053802490234375,cf1,0.016748,992.0634920634919,85.98409542743539,2.012,101391.65009940356,0.01681463894727106,0.01876,0.033782958984375,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_30_hp,-10,Aditya_2018-08-16_21502300_30,1,,,,-8.868356494433883,-5.532787100319699,-30.171124540236352,-24.724788447166453,-32.53869444681679,-35.87426384093098,-27.005907346497093,-21.60166856694113,-36.710449530759,-35.4862490729534,-30.248695003424217,11.249263383013517,16.814463730226024,2018-08-16 22:31:51,2018-08-16 22:31:50,1534451511.0,1534451510.0,single
7,14,0.000164,1824.8175182481752,101.64835164835166,1.092,108058.60805860806,0.011764266508987731,0.001256,0.024261474609375,fm1,0.001256,38.574294090418135,108344.26355991053,51.844000000000015,108.38284083018287,0.058434533719928634,0.0531,0.12249755859375,cf1,0.0531,1412.4293785310736,101.27478753541078,1.412,106940.5099150142,0.02427285642568219,0.054512,0.045379638671875,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_32_hp,-10,Aditya_2018-08-16_21502300_32,1,,,,,-5.427490585577957,,-34.21258512477111,-41.44103209876011,,-36.01354151318216,-29.664684633234728,-38.58870290997106,-32.29758225917408,-24.66660834151227,6.734489181831218,7.108053294772093,2018-08-16 22:33:05,2018-08-16 22:33:02,1534451585.0,1534451582.0,single
8,15,0.000588,1677.8523489932886,96.2837837837838,1.184,106418.91891891892,0.03292732087715481,0.001772,0.060546875,fm1,0.001772,74.42691277165822,108993.44848123883,26.863999999999997,109.21679571173317,0.049861854587858384,0.028636,0.1026611328125,cf1,0.028636,1533.7423312883434,98.76543209876544,1.296,108024.6913580247,0.02200157449862053,0.029932,0.044097900390625,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_33_hp,-10,Aditya_2018-08-16_21502300_33,1,,,,-6.461754527334786,-5.237554069529182,-29.852186481663804,-29.426046281619907,-35.4862490729534,-36.710449530759,-30.248695003424217,-25.38395245320792,-29.648872082149218,-33.15092477301512,-26.04463144312145,12.933011927949368,10.451363612967732,2018-08-16 22:33:13,2018-08-16 22:33:11,1534451593.0,1534451591.0,single
9,16,4e-06,2941.1764705882347,107.14285714285714,0.6719999999999999,111607.14285714287,0.015282365296318809,0.000676,0.02801513671875,fm1,0.000676,141.72335600907033,110961.42938173568,14.103999999999997,111.10323312535454,0.02380841751801355,0.01478,0.044219970703125,cf1,0.01478,1184.8341232227488,101.78571428571428,1.6800000000000002,108333.33333333334,0.02622131835907146,0.01646,0.057525634765625,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_39_hp,-10,Aditya_2018-08-16_21502300_39,2,,,,-13.922094568458796,-7.63097391766181,-32.301656126064955,-26.862779328755273,-32.29758225917408,-38.58870290997106,-24.66660834151227,-18.237451336165023,-36.316188470650125,-31.62690953157915,-32.46538940062495,3.9603759824973968,9.317518839640252,2018-08-16 22:37:50,2018-08-16 22:37:47,1534451870.0,1534451867.0,multiple
10,18,0.000368,1655.6291390728477,91.36212624584716,1.204,100498.3388704319,0.009357139078144729,0.001572,0.017669677734375,fm1,0.001572,186.98578908002992,106621.77328843996,10.692,107.0894126449682,0.013141162233891723,0.012264,0.0279541015625,cf1,0.012264,1366.120218579235,88.59890109890112,1.456,105082.41758241759,0.01582703708503471,0.01372,0.03662109375,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_43_hp,-10,Aditya_2018-08-16_21502300_43,2,,,,-3.1622336847196464,-7.4288349893697,-27.996788465708367,-32.04332066398599,-38.957138814601315,-34.69053750995125,-31.52830382523161,-25.078983235228755,-40.57713830835438,-36.01200760048939,-37.627324461971476,15.727286399121047,18.490511546067093,2018-08-16 22:38:07,2018-08-16 22:38:05,1534451887.0,1534451885.0,multiple
11,19,0.000248,1344.0860215053765,97.97297297297301,1.48,107432.43243243244,0.09509007668106567,0.0017280000000000002,0.217681884765625,fm1,0.0017280000000000002,42.69125683060109,109811.28853214926,46.843999999999994,109.89667833660661,0.13748851155486014,0.048572,0.316802978515625,cf1,0.048572,2747.2527472527468,103.59116022099447,0.7240000000000001,109116.02209944752,0.015673733454880746,0.049296,0.03009033203125,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_46_hp,-10,Aditya_2018-08-16_21502300_46,2,,,,-3.85079907002517,0.8384798690458005,-31.05214507516951,-24.80277160835813,-31.626909531579145,-36.31618847065013,-32.46538940062495,-27.08763098977087,-20.437296047690904,-36.09655086101966,-17.23467179329665,11.923705363633607,6.30551811561214,2018-08-16 22:38:32,2018-08-16 22:38:30,1534451912.0,1534451910.0,multiple
12,20,0.000808,3289.4736842105267,102.64900662251657,0.6040000000000001,107615.89403973511,0.012346278121672069,0.0014119999999999998,0.026611328125,fm1,0.0014119999999999998,112.10762331838563,106862.52522987216,17.836000000000002,106.97465799506617,0.03749471273949682,0.019248,0.07928466796875,cf1,0.019248,1420.4545454545455,93.57142857142858,1.4,105714.28571428572,0.021594307902520468,0.020648,0.0447998046875,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_47_hp,-10,Aditya_2018-08-16_21502300_47,2,,,,-2.303323189251058,1.8150977523749217,-30.818764844447788,-26.075910688130712,-33.755116339641546,-37.873537281267524,-35.57021409201647,-29.77016614001377,-38.16927888020339,-33.31321421059587,-28.520599386753823,4.325651372549604,13.403229423637589,2018-08-16 22:38:44,2018-08-16 22:38:32,1534451924.0,1534451912.0,multiple
13,21,0.000608,3164.556962025317,101.91082802547768,0.628,105095.54140127386,0.008723634349431615,0.001236,0.017303466796875,fm1,0.001236,107.7121930202499,107519.93104934283,18.564,107.57379875026935,0.033304713088400266,0.0198,0.0653076171875,cf1,0.0198,1543.20987654321,100.1552795031056,1.288,105590.06211180126,0.026200110021734647,0.021088,0.06005859375,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_62_hp,-10,Aditya_2018-08-16_21502300_62,1,,,,-7.147030704579384,-15.791689037912548,-18.830689890763345,-27.41751454700203,-33.637637041164496,-24.99297870783133,-17.845948003251948,-10.240649795150484,-41.18605092273826,-31.633937699000573,-29.54988606654165,5.662970724791667,7.418519247163742,2018-08-16 22:44:46,2018-08-16 22:44:42,1534452286.0,1534452282.0,single
14,22,0.000296,1351.3513513513512,102.30352303523038,1.4760000000000002,106368.56368563688,0.007695363073316763,0.001772,0.0172119140625,fm1,0.001772,43.13319530710835,107182.91630716137,46.36000000000001,107.20448662640207,0.017683735560466502,0.048132,0.048919677734375,cf1,0.048132,1488.095238095238,102.54491017964072,1.3359999999999999,104790.41916167665,0.006946155886714032,0.049468,0.016754150390625,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_70_hp,-10,Aditya_2018-08-16_21502300_70,1,,,,-2.9498138463829022,1.6153168614820803,-35.055427424645636,-28.72537377824186,-36.01200760048939,-40.577138308354385,-37.627324461971476,-31.07108922583735,-42.27541769983865,-43.165109488227486,-35.04851976164862,4.90096359117169,4.659576446761348,2018-08-16 22:48:42,2018-08-16 22:48:39,1534452522.0,1534452519.0,single
